         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
           TPRN   136    1.45       10.96          5.97     1.95    0.21      -0.21    0.015  0.029 
          THSD4   136    2.65       23.15         10.36     4.94    0.45      -0.85    0.000  0.015 
          THSD1   136    0.46        3.10          1.25     0.50    1.12       1.88    0.000  0.000 
          CHST9   136    0.22        2.91          0.79     0.45    1.89       5.73    0.000  0.000 
          CHST8   136    0.01        0.72          0.09     0.09    4.40      25.98    0.000  0.000 
         COL4A5   136    2.57       15.45          8.67     2.96    0.10      -0.32    0.015  0.044 
         COL4A4   134    3.40       15.94          8.48     2.72    0.56       0.18    0.000  0.059 
         COL4A3   136    1.29       20.72          8.67     3.90    0.77       0.69    0.000  0.044 
         COL4A2   136   16.27      186.46         47.85    31.19    2.37       6.49    0.000  0.044 
         COL4A1   136   21.22      404.22         77.86    67.44    3.15      11.09    0.000  0.044 
        SLC35D2   136   12.32       29.19         18.01     3.50    1.04       0.60    0.000  0.044 
          CHST1   136    0.24        3.00          1.19     0.66    1.00       0.50    0.000  0.000 
         ZNF879   136    0.82        2.23          1.44     0.35    0.28      -0.66    0.000  0.000 
          CHST3   136    2.64        9.39          5.63     1.55    0.24      -0.69    0.000  0.015 
          CHST2   134    1.78        8.98          4.12     1.67    0.99       0.50    0.000  0.074 
          CHST5   136    0.11        0.68          0.31     0.12    1.27       1.97    0.000  0.000 
          CHST4   136    0.00        0.38          0.03     0.06    4.39      20.88    0.000  0.000 
          CHST7   136    0.62        5.31          1.46     0.82    2.26       6.63    0.000  0.000 
          CHST6   136    0.31        4.54          1.12     0.92    2.04       4.11    0.000  0.000 
          ITGAX   136    0.29        8.35          1.26     1.37    3.20      11.90    0.000  0.000 
         BCL2A1   136    0.05        5.51          0.83     0.87    3.32      13.45    0.000  0.000 
          GPSM2   136    1.27        8.71          2.60     1.04    3.23      15.93    0.000  0.000 
           HLCS   136    1.93        8.55          4.77     1.57    0.56      -0.58    0.000  0.044 
            NOG   136    0.00        0.54          0.19     0.11    1.12       1.88    0.000  0.000 
           LIPG   136    0.31       21.63          5.89     4.47    1.65       3.02    0.000  0.059 
          ITGAV   130   24.56       88.50         49.89    12.64    0.50       0.51    0.015  0.088 
          HIBCH   136   13.45      117.61         46.44    26.85    0.90       0.15    0.000  0.059 
         ZNF703   136    0.14        3.89          1.05     0.82    1.23       0.92    0.000  0.000 
          ITGAL   136    0.35        7.74          1.65     1.39    1.91       4.29    0.000  0.000 
          ITGAM   136    0.21       12.89          2.14     2.02    2.76      10.31    0.000  0.000 
            HLF   136    1.71       13.72          6.85     2.24    0.61       0.78    0.015  0.044 
            NOV   134    1.48       24.46          9.71     6.56    0.58      -0.93    0.000  0.029 
        FAM134C   136   11.37       27.87         18.71     3.77    0.31      -0.31    0.000  0.029 
        FAM134B   134    7.70       48.07         23.21    11.18    0.56      -0.89    0.000  0.044 
        FAM134A   134   15.21       39.98         27.00     4.56    0.21       0.63    0.029  0.059 
       SERPING1   136   53.98      401.06        168.02    85.80    1.11       0.22    0.000  0.059 
         ZNF700   136    2.31        5.39          3.63     0.70    0.32      -0.46    0.000  0.029 
          SMAD9   136    0.56        6.83          2.29     1.26    1.75       3.37    0.000  0.000 
         TRERF1   136    0.74        3.11          1.48     0.55    1.07       0.51    0.000  0.000 
         LRPAP1   136   33.36      128.49         80.83    19.79    0.12       0.00    0.029  0.044 
          SMAD6   136    1.43        7.11          3.44     1.21    0.45      -0.16    0.000  0.029 
          SMAD7   136    6.71       30.60         15.51     5.53    0.81       0.23    0.000  0.044 
        GOLPH3L   134    7.97       17.82         12.40     2.23    0.46      -0.13    0.000  0.074 
          SMAD1   132    4.95       17.07          9.60     2.66    0.67       0.01    0.000  0.074 
          AFTPH   136   15.42       35.22         23.54     4.54    0.28      -0.50    0.000  0.044 
          SMAD3   136    7.44       24.76         12.85     3.84    1.03       0.49    0.000  0.044 
            F12   136    0.02        1.19          0.36     0.29    0.91      -0.03    0.000  0.000 
       AMMECR1L   136    3.21        9.05          5.44     1.09    0.60       0.53    0.015  0.044 
       IL1RAPL1   136    0.00        0.13          0.02     0.02    2.09       7.20    0.000  0.000 
      TMPRSS11B   136    0.12        0.73          0.24     0.10    2.55       9.87    0.000  0.000 
          IGF2R   136   10.41       36.24         22.97     5.65   -0.15       0.06    0.059  0.044 
      TMPRSS11D   136    0.00        0.06          0.01     0.01    2.79      10.66    0.000  0.000 
            F10   136    0.00       12.68          2.03     1.59    4.58      27.44    0.000  0.000 
      TMPRSS11F   136    0.00        0.02          0.00     0.00    3.62      13.94    0.000  0.000 
            F11   136    0.11       33.45         15.05     9.23    0.25      -0.94    0.000  0.000 
         ZC3H10   136    1.94        4.72          3.41     0.67    0.02      -0.87    0.015  0.000 
        RAD21L1   136    0.00        0.09          0.01     0.02    2.93       9.67    0.000  0.000 
         ZNF556   136    0.14        1.52          0.53     0.27    1.71       2.94    0.000  0.000 
       IL1RAPL2   136    0.01        0.48          0.10     0.08    2.83      10.78    0.000  0.000 
        SLC36A3   136    0.10        0.35          0.21     0.06    0.55      -0.28    0.000  0.000 
          CKS1B   136    7.80       27.51         15.33     4.79    0.92       0.02    0.000  0.059 
        SLC36A1   136    2.77       15.28          7.18     3.31    0.53      -0.72    0.000  0.044 
           EXOG   136    0.94        2.80          1.77     0.40    0.43       0.21    0.000  0.000 
           ST13   136   86.89      198.96        128.13    22.61    0.55       0.08    0.000  0.029 
           TMX2   136   28.62       92.72         57.68    13.08    0.66       0.15    0.015  0.029 
         ZC3H15   136   18.51       40.48         27.01     3.83    0.83       2.06    0.015  0.029 
        TMEM213   136    0.34      150.34         65.73    28.06    0.43       0.37    0.015  0.044 
         ERICH1   136    2.55        8.93          5.01     1.44    0.65      -0.04    0.000  0.029 
           ARTN   136    0.07        0.75          0.34     0.14    0.81       0.84    0.000  0.000 
           ART1   136    0.01        0.34          0.08     0.06    1.71       3.66    0.000  0.000 
           HRH3   136    0.00        0.06          0.01     0.01    2.35       6.54    0.000  0.000 
           ART3   136    0.34        2.22          0.68     0.25    3.55      19.71    0.000  0.000 
           ART5   136    0.11        0.89          0.44     0.20    0.50      -0.60    0.000  0.000 
           ART4   136    0.00        9.78          1.97     2.23    1.55       1.96    0.000  0.000 
          IL5RA   136    0.01        1.21          0.21     0.23    2.32       5.90    0.000  0.000 
         RNF111   136    3.87       11.17          6.39     1.48    0.75       0.70    0.000  0.029 
          TCEA2   136    4.25       14.72          9.09     2.14    0.22      -0.14    0.015  0.029 
          TCEA3   136   21.74      164.57         88.64    26.79    0.32       0.07    0.015  0.015 
          TCEA1   134   34.80       67.17         46.88     7.78    0.83       0.24    0.000  0.088 
         COX4I2   136    0.54        5.30          1.85     0.97    1.19       1.34    0.000  0.000 
         COX4I1   136   47.69      238.56        152.24    36.93    0.16      -0.12    0.015  0.029 
           BFAR   132   10.27       20.27         16.24     2.10   -0.08      -0.27    0.029  0.029 
         ZC3H18   136    6.14       15.01         10.64     2.19   -0.03      -0.60    0.015  0.000 
        TMEM212   136    2.45        9.45          5.24     1.37    0.67       0.37    0.015  0.044 
         TCEB3B   136    0.00        0.03          0.01     0.01    1.13       0.57    0.000  0.000 
          SIPA1   136    1.24       10.28          4.73     1.81    0.53       0.04    0.000  0.029 
          CRTAM   136    0.11        1.14          0.30     0.19    2.31       6.21    0.000  0.000 
            EDA   136    4.18       10.86          7.61     1.63    0.07      -0.68    0.029  0.000 
          OR6P1   136    0.00        0.02          0.00     0.00    8.06      63.01    0.000  0.000 
        CCDC116   136    0.00        0.13          0.04     0.03    1.47       2.36    0.000  0.000 
         CADPS2   136    4.32       39.73         19.69     7.03    0.78       0.46    0.015  0.044 
        CCDC114   136    0.10        0.51          0.28     0.10    0.48      -0.70    0.000  0.000 
        CCDC115   134   15.93       39.76         26.36     6.18    0.55      -0.64    0.000  0.044 
        CCDC112   136    0.79        4.68          1.84     0.64    1.64       5.51    0.000  0.000 
        CCDC113   136    0.40        4.26          1.74     0.83    0.83       0.36    0.000  0.000 
        CCDC110   136    0.29        1.94          0.85     0.38    0.87       0.05    0.000  0.000 
           LEO1   136    4.69       11.80          7.80     1.43    0.35       0.08    0.015  0.029 
         ATP1A4   136    0.09        0.67          0.24     0.08    2.31      10.52    0.000  0.000 
         ATP1A3   136    0.01        0.50          0.10     0.09    2.27       6.16    0.000  0.000 
         ATP1A2   136    0.40       17.28          2.82     2.27    3.95      21.94    0.000  0.000 
         ATP1A1   136  221.67     2174.83       1142.67   518.95    0.32      -1.11    0.000  0.000 
          MGRN1   134    5.04       17.47         11.30     2.67   -0.11      -0.31    0.015  0.029 
           TCP1   136   40.24       84.52         59.84     6.99    0.26       1.38    0.015  0.015 
          CRTAP   132   17.01       32.29         23.63     3.67    0.31      -0.60    0.000  0.044 
           CBLC   136    0.12        7.28          2.80     1.27    1.42       2.95    0.000  0.000 
          SPHK1   136    0.11        4.63          0.85     0.86    2.26       5.49    0.000  0.000 
            DPT   134    0.03       52.25          6.87     9.07    3.29      11.94    0.000  0.059 
         CUEDC1   136    3.94       15.60          8.29     2.85    0.49      -0.70    0.000  0.029 
         CUEDC2   136   23.33       56.51         41.29     7.81   -0.10      -0.63    0.015  0.000 
           CBLB   136    1.57        7.55          4.05     1.39    0.32      -0.29    0.000  0.029 
          CPEB4   136   11.69       43.72         23.63     7.11    0.37      -0.23    0.000  0.029 
          CPEB1   136    0.12        1.72          0.54     0.30    1.26       2.33    0.000  0.000 
          ZNF45   136    1.99        5.54          3.96     0.76   -0.42       0.01    0.044  0.029 
          CPEB3   136    0.86        6.42          3.46     1.14    0.22      -0.26    0.015  0.029 
          CPEB2   132    5.54       12.97          8.91     1.86    0.18      -0.88    0.000  0.044 
         BEGAIN   136    0.03        0.44          0.13     0.08    1.70       3.74    0.000  0.000 
         RBMXL3   136    0.00        0.02          0.00     0.00    1.87       4.54    0.000  0.000 
          OSGEP   136    4.82       11.73          7.80     1.47    0.26      -0.24    0.015  0.015 
           ABAT   134    1.13       85.90         29.25    26.74    0.72      -0.84    0.000  0.059 
        ZNF780A   136    2.01        8.48          4.81     1.37    0.57       0.25    0.015  0.044 
        ZNF780B   136    1.00        3.23          1.92     0.51    0.36      -0.37    0.000  0.000 
           TLN2   136    5.82       39.18         20.03     7.43    0.37      -0.31    0.000  0.029 
        TSNARE1   136    1.87        6.58          3.47     1.01    0.57      -0.01    0.000  0.029 
           FRG1   136   15.64       30.80         23.70     3.69   -0.20      -0.64    0.015  0.000 
           FRG2   136    0.01        4.45          0.83     1.13    1.83       2.72    0.000  0.000 
         RHEBL1   136    0.02        0.45          0.16     0.09    1.00       1.07    0.000  0.000 
          ZNF41   136    1.94        5.13          3.37     0.78    0.62      -0.45    0.000  0.059 
          IFT80   134    3.67       12.75          7.69     2.34    0.41      -0.98    0.000  0.044 
          IFT81   136    2.46        8.66          5.25     1.36    0.36      -0.59    0.015  0.015 
          NUP98   136   10.93       34.68         21.89     4.40    0.10       0.27    0.029  0.015 
          IFT88   136    4.71       13.36          9.73     1.80   -0.28      -0.12    0.029  0.015 
         IL10RA   136    0.41        7.71          2.27     1.90    1.35       0.94    0.000  0.000 
        POU5F1B   136    0.07        1.06          0.39     0.18    0.98       1.63    0.000  0.000 
            SP1   136    8.44       24.78         14.53     3.02    0.72       1.53    0.015  0.044 
        SLC27A4   136    5.97       25.74         14.26     3.77    0.54       0.29    0.015  0.044 
            SP2   134    3.52       11.58          7.10     1.67    0.35       0.00    0.015  0.044 
           PNOC   136    0.00        8.65          0.85     1.42    3.25      12.63    0.000  0.000 
           CNTF   136    0.06        0.82          0.20     0.13    2.82       9.65    0.000  0.000 
          MCM10   136    0.01        1.26          0.10     0.20    4.73      22.33    0.000  0.000 
          PDIA5   134    5.16       15.42          9.66     2.16    0.40      -0.23    0.015  0.044 
            SP4   136    0.93        4.86          2.38     0.67    1.03       2.24    0.000  0.000 
        IGFBPL1   136    0.00        0.51          0.09     0.10    2.62       7.85    0.000  0.000 
            SP5   136    0.01        0.86          0.23     0.19    1.70       2.50    0.000  0.000 
          ATG4C   134    3.44        8.31          6.01     0.97    0.38       0.11    0.015  0.059 
          ATG4B   136    4.57       14.58          9.05     2.14    0.56       0.26    0.015  0.044 
          ATG4A   136    5.58       10.52          8.06     1.18    0.29      -0.50    0.015  0.029 
        THUMPD2   136    1.46        3.87          2.63     0.56    0.21      -0.55    0.000  0.000 
          ATG4D   136    2.81       12.50          8.03     1.86   -0.28       0.33    0.015  0.044 
         PHOX2A   136    0.00        0.04          0.01     0.01    2.06       4.02    0.000  0.000 
         PHOX2B   136    0.00        0.01          0.00     0.00    2.99       7.45    0.000  0.000 
          LRGUK   136    0.06        0.36          0.21     0.07    0.17      -0.34    0.000  0.000 
           UPK2   136    0.00        7.67          0.29     1.22    5.46      28.44    0.000  0.000 
            CFH   134    6.59      100.81         31.11    22.74    1.49       1.49    0.000  0.074 
            CFI   136   17.51      174.41         69.92    36.68    0.55      -0.29    0.000  0.029 
            PNP   136   30.37      203.54        114.13    39.69    0.32      -0.20    0.029  0.044 
         ANKFY1   136    5.34       15.01          9.37     1.84   -0.01       0.27    0.015  0.015 
            CFB   136    4.57       99.65         31.14    23.45    1.44       1.33    0.000  0.074 
          OR5P3   136    0.00        0.03          0.00     0.01    3.15       9.04    0.000  0.000 
          OR5P2   136    0.00        0.04          0.00     0.01    2.83       8.74    0.000  0.000 
          MLLT4   136   12.86       40.36         24.32     6.14    0.37      -0.10    0.000  0.044 
         CREBBP   136    3.51       10.63          6.72     1.81    0.16      -0.78    0.000  0.029 
            PNN   136    7.18       23.26         14.34     3.43    0.28      -0.04    0.015  0.029 
        PHYHIPL   136    2.96       17.23          9.59     3.01    0.15      -0.54    0.015  0.015 
       ATP6V0E1   136  124.35      309.65        209.54    43.78    0.46      -0.38    0.000  0.044 
       ATP6V0E2   136    5.69       36.69         19.09     6.40    0.60       0.69    0.015  0.059 
         RNF128   132    7.18       32.43         17.54     6.13    0.74      -0.10    0.000  0.088 
            CFP   136    0.09        1.77          0.51     0.36    1.49       1.68    0.000  0.000 
           AAAS   136    6.68       14.27         10.96     1.66   -0.31      -0.19    0.029  0.000 
           HAMP   136    0.00        1.87          0.15     0.27    4.38      24.09    0.000  0.000 
          LTBP1   134    3.16       88.05         22.63    19.86    1.59       2.11    0.000  0.074 
          SIDT1   136    0.55        4.12          1.42     0.66    1.48       3.11    0.000  0.000 
          SIDT2   136    7.51       16.26         11.44     2.01    0.32      -0.52    0.000  0.044 
           SIX4   136    0.43        3.72          1.82     0.62    0.96       1.05    0.000  0.000 
           SIX6   136    0.00        0.18          0.00     0.02    7.94      61.65    0.000  0.000 
         PM20D1   136    0.01       12.97          1.90     2.49    2.07       4.97    0.000  0.000 
            MR1   134    5.39       15.80          9.92     2.99    0.46      -0.99    0.000  0.015 
           SIX3   136    0.00        0.42          0.05     0.07    2.61       8.08    0.000  0.000 
          CNPY4   136    2.46       12.22          6.68     2.06    0.49       0.10    0.015  0.044 
          CNPY3   136    8.47       34.42         18.89     6.13    0.40      -0.49    0.000  0.029 
          CNPY2   136   18.77       48.19         30.42     5.43    0.51       0.58    0.015  0.029 
          CNPY1   136    0.00        0.01          0.00     0.00    2.40       4.58    0.000  0.000 
          NODAL   136    0.01        0.10          0.05     0.03    0.59      -0.59    0.000  0.000 
          SYNJ1   136    1.87        5.38          3.43     0.70   -0.04      -0.04    0.029  0.029 
          KNDC1   136    0.04        1.45          0.45     0.28    1.08       1.25    0.000  0.000 
         HMG20A   136    6.26       14.82          9.79     1.65    0.45       0.39    0.015  0.015 
         HMG20B   136   12.42       39.00         23.81     5.04    0.14       0.65    0.029  0.029 
       PHOSPHO2   136    1.16        3.68          2.21     0.54    0.19      -0.43    0.000  0.000 
           TMIE   136    0.10        1.48          0.69     0.27    0.52       0.05    0.000  0.000 
          AAGAB   136    8.14       26.78         16.63     3.16    0.42       1.01    0.015  0.029 
       PHOSPHO1   136    0.02        0.60          0.20     0.10    1.26       2.76    0.000  0.000 
        ZCCHC13   136    0.00        0.02          0.00     0.00    3.60      11.80    0.000  0.000 
       SLC7A6OS   136    1.61        4.02          2.77     0.56    0.10      -0.53    0.000  0.000 
          SCYL2   134   10.22       30.89         21.00     3.43    0.13       1.24    0.015  0.044 
          SYNJ2   134    1.98        8.46          4.17     1.55    0.96       0.51    0.000  0.074 
            MRO   134    0.47       20.97          6.21     6.13    0.99      -0.35    0.000  0.059 
           TNP1   136    0.00        0.06          0.00     0.01    3.77      14.27    0.000  0.000 
         NLRP10   136    0.00        0.15          0.01     0.02    3.27      13.69    0.000  0.000 
           CHFR   136    1.24        4.06          2.32     0.55    0.84       1.24    0.000  0.000 
          RTBDN   136    0.03        0.60          0.14     0.08    3.38      17.37    0.000  0.000 
          GPR75   136    0.13        0.76          0.31     0.11    1.26       2.73    0.000  0.000 
          SYPL2   136    2.17       11.66          6.88     2.02    0.23       0.12    0.029  0.044 
           RFX8   136    0.00        0.75          0.05     0.09    6.50      46.68    0.000  0.000 
         ZNF222   136    0.73        2.35          1.40     0.30    0.25       0.49    0.000  0.000 
           RFX4   136    0.01        0.11          0.05     0.02    0.33      -0.11    0.000  0.000 
          OSCAR   136    0.05        1.76          0.38     0.31    2.38       6.76    0.000  0.000 
          AVPR2   136    0.56       28.42          6.41     6.21    1.76       2.69    0.000  0.044 
           RFX7   134    2.40        8.06          5.03     1.21    0.07      -0.12    0.015  0.044 
          NRXN3   136    0.14        3.22          0.85     0.58    1.66       3.51    0.000  0.000 
          NRXN2   136    0.06        7.16          1.42     1.29    1.65       4.49    0.000  0.000 
          NRXN1   136    0.01        1.84          0.28     0.27    3.06      14.63    0.000  0.000 
           RFX3   136    0.70        2.46          1.27     0.36    1.00       1.32    0.000  0.000 
          RFPL2   136    0.00        0.48          0.05     0.07    4.29      21.92    0.000  0.000 
         VPS37D   134    1.59        8.71          4.76     1.47    0.34       0.09    0.015  0.059 
         NLRP13   136    0.00        0.01          0.00     0.00    3.88      16.01    0.000  0.000 
            APC   136    1.92        6.55          3.95     1.04    0.24      -0.25    0.000  0.029 
       TMEM179B   136   20.74       48.95         34.44     6.97    0.22      -0.44    0.000  0.044 
          ABCE1   132    7.53       16.34         11.93     2.02    0.18      -0.56    0.015  0.044 
         UQCRC2   136   56.08      211.36        134.91    29.18   -0.03       0.42    0.029  0.029 
        XPNPEP1   136   11.33       22.16         16.57     2.59    0.14      -0.32    0.015  0.044 
        XPNPEP2   134    0.06      228.48         66.26    71.66    0.70      -1.00    0.000  0.044 
          TIGD4   136    0.18        0.85          0.43     0.13    0.66       0.44    0.000  0.000 
         ZNHIT3   136   13.06       29.73         21.03     3.42    0.39       0.12    0.015  0.059 
           GGCX   134    7.16       16.17         12.75     1.92   -0.31      -0.16    0.029  0.015 
          PAPLN   134    2.33       22.49          8.75     5.15    0.77      -0.27    0.000  0.074 
           ADNP   136   10.82       26.43         18.45     3.85    0.03      -0.59    0.000  0.015 
          TMEM5   136    6.20       13.57          9.27     1.52    0.53       0.00    0.015  0.029 
        TMEM218   136    3.72       10.81          7.00     1.73    0.47      -0.70    0.000  0.029 
         STXBP6   136    0.76       13.71          3.59     3.47    1.63       1.45    0.000  0.103 
